任务名,时间,区块号,训练井号,训练数据量,测试井号,测试数据量,准确率,其他
预测是否溢流,42:38.0,9,"[11, 21, 17]",12912,[111],13844,0.939901762,y是detected
预测是否溢流,42:50.8,2,"[32, 40, 52, 55, 58, 2, 70, 108]",130306,"[7, 14, 38, 78]",26769,0.907430236,y是detected
预测是否溢流,42:52.0,1,"[8, 23]",18154,[63],4915,0.511291963,y是detected
预测是否溢流,42:53.5,15,"[36, 46, 56]",8799,[86],10527,0.502232355,y是detected
预测是否溢流,43:37.0,9,"[11, 17, 111]",20951,[21],5805,0.252885444,y是detected
预测是否溢流,43:44.8,2,"[14, 32, 38, 52, 55, 2, 70, 78]",68976,"[7, 58, 40, 108]",88099,0.642810929,y是detected
预测是否溢流,43:46.4,1,"[63, 23]",14714,[8],8355,0.717534411,y是detected
预测是否溢流,43:47.9,15,"[36, 46, 56]",8799,[86],10527,0.502232355,y是detected
预测是否溢流,44:55.7,9,"[11, 21, 111]",22823,[17],3933,0.34706331,y是detected
预测是否溢流,45:09.2,2,"[14, 32, 40, 52, 55, 58, 70, 108]",126433,"[78, 7, 2, 38]",30642,0.880001305,y是detected
预测是否溢流,45:10.9,1,"[63, 23]",14714,[8],8355,0.717534411,y是detected
预测是否溢流,45:12.5,15,"[36, 46, 56]",8799,[86],10527,0.502232355,y是detected
预测是否溢流,49:56.4,9,"[11, 21, 111]",22823,[17],3933,0.34706331,y是detected
预测是否溢流,50:06.7,2,"[14, 38, 40, 52, 55, 2, 70, 78]",96396,"[108, 32, 7, 58]",60679,0.824255508,y是detected
预测是否溢流,50:08.3,1,"[63, 23]",14714,[8],8355,0.717534411,y是detected
预测是否溢流,50:10.7,15,"[46, 56, 86]",15846,[36],3480,0.518965517,y是detected
,,,,,,,,
预测是否溢流,50:46.3,9,"[11, 21, 17]",12912,[111],13844,0.939901762,y是detected
